"Operativo";"escuela seleccionada";"Nivel";"Gestión";"Supervisión";"Escuela_ID";"CUE";"subcue";"Número_escuela";"Anexo";"Número_Anexo";"Nombre_Escuela";"Departamento";"Localidad";"zona";"AMBITO";"Regional";"Curso";"Curso_ID";"División";"División_ID";"Turno";"Modalidad";"Matrícula";"Cantidad_alumnos_evaluados_por_división";"Diferencia por censar";"ciclo_lectivo";"cencista"
"División aún no censada!";"si";"Primario";"Pública";"21 - Primario";"2335";"5000997";"00";"1002";"0";"1002-0";"MANUEL BLANCO ENCALADA";"JUNIN";"JUNIN";"80%";"Urbano";"ESTE";"2°";"8";"A";"16071";"Mañana";"Presencial";"27";"0";"27";-;-
"División aún no censada!";"si";"Primario";"Pública";"21 - Primario";"2335";"5000997";"00";"1002";"0";"1002-0";"MANUEL BLANCO ENCALADA";"JUNIN";"JUNIN";"80%";"Urbano";"ESTE";"2°";"8";"B";"16079";"Mañana";"Presencial";"27";"0";"27";-;-
"División aún no censada!";"si";"Primario";"Pública";"21 - Primario";"2335";"5000997";"00";"1002";"0";"1002-0";"MANUEL BLANCO ENCALADA";"JUNIN";"JUNIN";"80%";"Urbano";"ESTE";"2°";"8";"C";"34364";"Tarde";"Presencial";"24";"0";"24";-;-
"División aún no censada!";"si";"Primario";"Pública";"21 - Primario";"2335";"5000997";"00";"1002";"0";"1002-0";"MANUEL BLANCO ENCALADA";"JUNIN";"JUNIN";"80%";"Urbano";"ESTE";"2°";"8";"D";"57776";"Tarde";"Presencial";"27";"0";"27";-;-
"Operativo 2022 Instancia I";"si";"Primario";"Pública";"21 - Primario";"2335";"5000997";"00";"1002";"0";"1002-0";"MANUEL BLANCO ENCALADA";"JUNIN";"JUNIN";"80%";"Urbano";"ESTE";"3°";"9";"A";"16072";"Mañana";"Presencial";"27";"24";"3";"2022";"ESCUDERO ADRIANA ALEJANDRA,SAEZ MARIELA NOELIA"
"Operativo 2022 Instancia I";"si";"Primario";"Pública";"21 - Primario";"2335";"5000997";"00";"1002";"0";"1002-0";"MANUEL BLANCO ENCALADA";"JUNIN";"JUNIN";"80%";"Urbano";"ESTE";"3°";"9";"B";"16080";"Mañana";"Presencial";"28";"27";"1";"2022";"ESCUDERO ADRIANA ALEJANDRA,SAEZ MARIELA NOELIA"
"Operativo 2022 Instancia I";"si";"Primario";"Pública";"21 - Primario";"2335";"5000997";"00";"1002";"0";"1002-0";"MANUEL BLANCO ENCALADA";"JUNIN";"JUNIN";"80%";"Urbano";"ESTE";"3°";"9";"C";"34365";"Tarde";"Presencial";"18";"16";"2";"2022";"ESCUDERO ADRIANA ALEJANDRA,SAEZ MARIELA NOELIA"
"Operativo 2022 Instancia I";"si";"Primario";"Pública";"21 - Primario";"2335";"5000997";"00";"1002";"0";"1002-0";"MANUEL BLANCO ENCALADA";"JUNIN";"JUNIN";"80%";"Urbano";"ESTE";"3°";"9";"D";"74853";"Tarde";"Presencial";"18";"10";"8";"2022";"ESCUDERO ADRIANA ALEJANDRA,SAEZ MARIELA NOELIA"
"División aún no censada!";"si";"Primario";"Pública";"21 - Primario";"2335";"5000997";"00";"1002";"0";"1002-0";"MANUEL BLANCO ENCALADA";"JUNIN";"JUNIN";"80%";"Urbano";"ESTE";"4°";"10";"A";"16073";"Mañana";"Presencial";"25";"0";"25";-;-
"División aún no censada!";"si";"Primario";"Pública";"21 - Primario";"2335";"5000997";"00";"1002";"0";"1002-0";"MANUEL BLANCO ENCALADA";"JUNIN";"JUNIN";"80%";"Urbano";"ESTE";"4°";"10";"B";"16081";"Mañana";"Presencial";"24";"0";"24";-;-
"División aún no censada!";"si";"Primario";"Pública";"21 - Primario";"2335";"5000997";"00";"1002";"0";"1002-0";"MANUEL BLANCO ENCALADA";"JUNIN";"JUNIN";"80%";"Urbano";"ESTE";"4°";"10";"C";"36363";"Tarde";"Presencial";"33";"0";"33";-;-
"Operativo 2022 Instancia I";"si";"Primario";"Pública";"21 - Primario";"2335";"5000997";"00";"1002";"0";"1002-0";"MANUEL BLANCO ENCALADA";"JUNIN";"JUNIN";"80%";"Urbano";"ESTE";"5°";"11";"A";"16074";"Mañana";"Presencial";"25";"20";"5";"2022";"ESCUDERO ADRIANA ALEJANDRA,SAEZ MARIELA NOELIA"
"Operativo 2022 Instancia I";"si";"Primario";"Pública";"21 - Primario";"2335";"5000997";"00";"1002";"0";"1002-0";"MANUEL BLANCO ENCALADA";"JUNIN";"JUNIN";"80%";"Urbano";"ESTE";"5°";"11";"B";"16082";"Mañana";"Presencial";"25";"21";"4";"2022";"ESCUDERO ADRIANA ALEJANDRA,SAEZ MARIELA NOELIA"
"Operativo 2022 Instancia I";"si";"Primario";"Pública";"21 - Primario";"2335";"5000997";"00";"1002";"0";"1002-0";"MANUEL BLANCO ENCALADA";"JUNIN";"JUNIN";"80%";"Urbano";"ESTE";"5°";"11";"C";"16075";"Tarde";"Presencial";"25";"19";"6";"2022";"ESCUDERO ADRIANA ALEJANDRA,SAEZ MARIELA NOELIA"
"División aún no censada!";"si";"Primario";"Pública";"21 - Primario";"2335";"5000997";"00";"1002";"0";"1002-0";"MANUEL BLANCO ENCALADA";"JUNIN";"JUNIN";"80%";"Urbano";"ESTE";"6°";"12";"A";"16076";"Mañana";"Presencial";"32";"0";"32";-;-
"División aún no censada!";"si";"Primario";"Pública";"21 - Primario";"2335";"5000997";"00";"1002";"0";"1002-0";"MANUEL BLANCO ENCALADA";"JUNIN";"JUNIN";"80%";"Urbano";"ESTE";"6°";"12";"B";"36367";"Mañana";"Presencial";"31";"0";"31";-;-
"División aún no censada!";"si";"Primario";"Pública";"21 - Primario";"2335";"5000997";"00";"1002";"0";"1002-0";"MANUEL BLANCO ENCALADA";"JUNIN";"JUNIN";"80%";"Urbano";"ESTE";"6°";"12";"C";"36364";"Tarde";"Presencial";"20";"0";"20";-;-
"División aún no censada!";"si";"Primario";"Pública";"21 - Primario";"2335";"5000997";"00";"1002";"0";"1002-0";"MANUEL BLANCO ENCALADA";"JUNIN";"JUNIN";"80%";"Urbano";"ESTE";"6°";"12";"D";"82063";"Tarde";"Presencial";"18";"0";"18";-;-
"Operativo 2022 Instancia I";"si";"Primario";"Pública";"21 - Primario";"2335";"5000997";"00";"1002";"0";"1002-0";"MANUEL BLANCO ENCALADA";"JUNIN";"JUNIN";"80%";"Urbano";"ESTE";"7°";"13";"A";"16077";"Mañana";"Presencial";"27";"23";"4";"2022";"ESCUDERO ADRIANA ALEJANDRA,SAEZ MARIELA NOELIA"
"Operativo 2022 Instancia I";"si";"Primario";"Pública";"21 - Primario";"2335";"5000997";"00";"1002";"0";"1002-0";"MANUEL BLANCO ENCALADA";"JUNIN";"JUNIN";"80%";"Urbano";"ESTE";"7°";"13";"B";"63613";"Mañana";"Presencial";"29";"27";"2";"2022";"ESCUDERO ADRIANA ALEJANDRA,SAEZ MARIELA NOELIA"
"Operativo 2022 Instancia I";"si";"Primario";"Pública";"21 - Primario";"2335";"5000997";"00";"1002";"0";"1002-0";"MANUEL BLANCO ENCALADA";"JUNIN";"JUNIN";"80%";"Urbano";"ESTE";"7°";"13";"C";"16084";"Tarde";"Presencial";"29";"25";"4";"2022";"ESCUDERO ADRIANA ALEJANDRA,SAEZ MARIELA NOELIA"
"División aún no censada!";"no";"Primario";"Pública";"13 - Primario";"4";"5000915";"00";"1003";"0";"1003-0";"JUSTO JOSÉ DE URQUIZA";"MAIPÚ";"MAIPÚ";"10%";"Urbano";"CENTRO";"2°";"8";"A";"31";"Mañana";"Presencial";"29";"0";"29";-;-
"División aún no censada!";"no";"Primario";"Pública";"13 - Primario";"4";"5000915";"00";"1003";"0";"1003-0";"JUSTO JOSÉ DE URQUIZA";"MAIPÚ";"MAIPÚ";"10%";"Urbano";"CENTRO";"2°";"8";"B";"15";"Mañana";"Presencial";"32";"0";"32";-;-
"División aún no censada!";"no";"Primario";"Pública";"13 - Primario";"4";"5000915";"00";"1003";"0";"1003-0";"JUSTO JOSÉ DE URQUIZA";"MAIPÚ";"MAIPÚ";"10%";"Urbano";"CENTRO";"2°";"8";"C";"16";"Tarde";"Presencial";"31";"0";"31";-;-
"División aún no censada!";"no";"Primario";"Pública";"13 - Primario";"4";"5000915";"00";"1003";"0";"1003-0";"JUSTO JOSÉ DE URQUIZA";"MAIPÚ";"MAIPÚ";"10%";"Urbano";"CENTRO";"2°";"8";"D";"32";"Tarde";"Presencial";"31";"0";"31";-;-
"División aún no censada!";"no";"Primario";"Pública";"13 - Primario";"4";"5000915";"00";"1003";"0";"1003-0";"JUSTO JOSÉ DE URQUIZA";"MAIPÚ";"MAIPÚ";"10%";"Urbano";"CENTRO";"3°";"9";"A";"18";"Mañana";"Presencial";"32";"0";"32";-;-
"División aún no censada!";"no";"Primario";"Pública";"13 - Primario";"4";"5000915";"00";"1003";"0";"1003-0";"JUSTO JOSÉ DE URQUIZA";"MAIPÚ";"MAIPÚ";"10%";"Urbano";"CENTRO";"3°";"9";"B";"19";"Mañana";"Presencial";"32";"0";"32";-;-
"División aún no censada!";"no";"Primario";"Pública";"13 - Primario";"4";"5000915";"00";"1003";"0";"1003-0";"JUSTO JOSÉ DE URQUIZA";"MAIPÚ";"MAIPÚ";"10%";"Urbano";"CENTRO";"3°";"9";"C";"33";"Tarde";"Presencial";"28";"0";"28";-;-
"División aún no censada!";"no";"Primario";"Pública";"13 - Primario";"4";"5000915";"00";"1003";"0";"1003-0";"JUSTO JOSÉ DE URQUIZA";"MAIPÚ";"MAIPÚ";"10%";"Urbano";"CENTRO";"3°";"9";"D";"34";"Tarde";"Presencial";"27";"0";"27";-;-
"División aún no censada!";"no";"Primario";"Pública";"13 - Primario";"4";"5000915";"00";"1003";"0";"1003-0";"JUSTO JOSÉ DE URQUIZA";"MAIPÚ";"MAIPÚ";"10%";"Urbano";"CENTRO";"4°";"10";"A";"20";"Mañana";"Presencial";"29";"0";"29";-;-
"División aún no censada!";"no";"Primario";"Pública";"13 - Primario";"4";"5000915";"00";"1003";"0";"1003-0";"JUSTO JOSÉ DE URQUIZA";"MAIPÚ";"MAIPÚ";"10%";"Urbano";"CENTRO";"4°";"10";"B";"21";"Mañana";"Presencial";"27";"0";"27";-;-
"División aún no censada!";"no";"Primario";"Pública";"13 - Primario";"4";"5000915";"00";"1003";"0";"1003-0";"JUSTO JOSÉ DE URQUIZA";"MAIPÚ";"MAIPÚ";"10%";"Urbano";"CENTRO";"4°";"10";"C";"35";"Tarde";"Presencial";"27";"0";"27";-;-
"División aún no censada!";"no";"Primario";"Pública";"13 - Primario";"4";"5000915";"00";"1003";"0";"1003-0";"JUSTO JOSÉ DE URQUIZA";"MAIPÚ";"MAIPÚ";"10%";"Urbano";"CENTRO";"4°";"10";"D";"36";"Tarde";"Presencial";"24";"0";"24";-;-
"División aún no censada!";"no";"Primario";"Pública";"13 - Primario";"4";"5000915";"00";"1003";"0";"1003-0";"JUSTO JOSÉ DE URQUIZA";"MAIPÚ";"MAIPÚ";"10%";"Urbano";"CENTRO";"4°";"10";"E";"80919";"Tarde";"Presencial";"20";"0";"20";-;-
"División aún no censada!";"no";"Primario";"Pública";"13 - Primario";"4";"5000915";"00";"1003";"0";"1003-0";"JUSTO JOSÉ DE URQUIZA";"MAIPÚ";"MAIPÚ";"10%";"Urbano";"CENTRO";"5°";"11";"A";"22";"Mañana";"Presencial";"33";"0";"33";-;-
"División aún no censada!";"no";"Primario";"Pública";"13 - Primario";"4";"5000915";"00";"1003";"0";"1003-0";"JUSTO JOSÉ DE URQUIZA";"MAIPÚ";"MAIPÚ";"10%";"Urbano";"CENTRO";"5°";"11";"B";"23";"Mañana";"Presencial";"33";"0";"33";-;-
"División aún no censada!";"no";"Primario";"Pública";"13 - Primario";"4";"5000915";"00";"1003";"0";"1003-0";"JUSTO JOSÉ DE URQUIZA";"MAIPÚ";"MAIPÚ";"10%";"Urbano";"CENTRO";"5°";"11";"C";"37";"Tarde";"Presencial";"28";"0";"28";-;-
"División aún no censada!";"no";"Primario";"Pública";"13 - Primario";"4";"5000915";"00";"1003";"0";"1003-0";"JUSTO JOSÉ DE URQUIZA";"MAIPÚ";"MAIPÚ";"10%";"Urbano";"CENTRO";"5°";"11";"D";"38";"Tarde";"Presencial";"29";"0";"29";-;-
"División aún no censada!";"no";"Primario";"Pública";"13 - Primario";"4";"5000915";"00";"1003";"0";"1003-0";"JUSTO JOSÉ DE URQUIZA";"MAIPÚ";"MAIPÚ";"10%";"Urbano";"CENTRO";"6°";"12";"A";"24";"Mañana";"Presencial";"32";"0";"32";-;-
"División aún no censada!";"no";"Primario";"Pública";"13 - Primario";"4";"5000915";"00";"1003";"0";"1003-0";"JUSTO JOSÉ DE URQUIZA";"MAIPÚ";"MAIPÚ";"10%";"Urbano";"CENTRO";"6°";"12";"B";"25";"Mañana";"Presencial";"32";"0";"32";-;-
"División aún no censada!";"no";"Primario";"Pública";"13 - Primario";"4";"5000915";"00";"1003";"0";"1003-0";"JUSTO JOSÉ DE URQUIZA";"MAIPÚ";"MAIPÚ";"10%";"Urbano";"CENTRO";"6°";"12";"C";"26";"Tarde";"Presencial";"30";"0";"30";-;-
"División aún no censada!";"no";"Primario";"Pública";"13 - Primario";"4";"5000915";"00";"1003";"0";"1003-0";"JUSTO JOSÉ DE URQUIZA";"MAIPÚ";"MAIPÚ";"10%";"Urbano";"CENTRO";"6°";"12";"D";"36368";"Tarde";"Presencial";"27";"0";"27";-;-
"División aún no censada!";"no";"Primario";"Pública";"13 - Primario";"4";"5000915";"00";"1003";"0";"1003-0";"JUSTO JOSÉ DE URQUIZA";"MAIPÚ";"MAIPÚ";"10%";"Urbano";"CENTRO";"7°";"13";"A";"27";"Mañana";"Presencial";"29";"0";"29";-;-
"División aún no censada!";"no";"Primario";"Pública";"13 - Primario";"4";"5000915";"00";"1003";"0";"1003-0";"JUSTO JOSÉ DE URQUIZA";"MAIPÚ";"MAIPÚ";"10%";"Urbano";"CENTRO";"7°";"13";"B";"28";"Mañana";"Presencial";"30";"0";"30";-;-
"División aún no censada!";"no";"Primario";"Pública";"13 - Primario";"4";"5000915";"00";"1003";"0";"1003-0";"JUSTO JOSÉ DE URQUIZA";"MAIPÚ";"MAIPÚ";"10%";"Urbano";"CENTRO";"7°";"13";"C";"39";"Tarde";"Presencial";"29";"0";"29";-;-
"División aún no censada!";"no";"Primario";"Pública";"13 - Primario";"4";"5000915";"00";"1003";"0";"1003-0";"JUSTO JOSÉ DE URQUIZA";"MAIPÚ";"MAIPÚ";"10%";"Urbano";"CENTRO";"7°";"13";"D";"40";"Tarde";"Presencial";"29";"0";"29";-;-
"División aún no censada!";"no";"Primario";"Pública";"13 - Primario";"4";"5000915";"00";"1003";"0";"1003-0";"JUSTO JOSÉ DE URQUIZA";"MAIPÚ";"MAIPÚ";"10%";"Urbano";"CENTRO";"7°";"13";"E";"80918";"Mañana";"Presencial";"18";"0";"18";-;-
"División aún no censada!";"no";"Primario";"Pública";"10 - Primario";"2336";"5000597";"00";"1004";"0";"1004-0";"DR. GUILLERMO RAWSON";"GODOY CRUZ";"GODOY CRUZ";"10%";"Urbano";"CENTRO";"2°";"8";"A";"16087";"Mañana";"Presencial";"28";"0";"28";-;-
"División aún no censada!";"no";"Primario";"Pública";"10 - Primario";"2336";"5000597";"00";"1004";"0";"1004-0";"DR. GUILLERMO RAWSON";"GODOY CRUZ";"GODOY CRUZ";"10%";"Urbano";"CENTRO";"2°";"8";"B";"34367";"Mañana";"Presencial";"26";"0";"26";-;-
"División aún no censada!";"no";"Primario";"Pública";"10 - Primario";"2336";"5000597";"00";"1004";"0";"1004-0";"DR. GUILLERMO RAWSON";"GODOY CRUZ";"GODOY CRUZ";"10%";"Urbano";"CENTRO";"2°";"8";"C";"16102";"Mañana";"Presencial";"27";"0";"27";-;-
"División aún no censada!";"no";"Primario";"Pública";"10 - Primario";"2336";"5000597";"00";"1004";"0";"1004-0";"DR. GUILLERMO RAWSON";"GODOY CRUZ";"GODOY CRUZ";"10%";"Urbano";"CENTRO";"2°";"8";"D";"16103";"Tarde";"Presencial";"25";"0";"25";-;-
"División aún no censada!";"no";"Primario";"Pública";"10 - Primario";"2336";"5000597";"00";"1004";"0";"1004-0";"DR. GUILLERMO RAWSON";"GODOY CRUZ";"GODOY CRUZ";"10%";"Urbano";"CENTRO";"2°";"8";"E";"63795";"Tarde";"Presencial";"27";"0";"27";-;-
"Operativo 2022 Instancia II";"no";"Primario";"Pública";"10 - Primario";"2336";"5000597";"00";"1004";"0";"1004-0";"DR. GUILLERMO RAWSON";"GODOY CRUZ";"GODOY CRUZ";"10%";"Urbano";"CENTRO";"3°";"9";"A";"16088";"Mañana";"Presencial";"24";"19";"5";"2022";"GARRIDO SORIA NOELIA AYELÉN,GONZALEZ PAOLA VANESA,GRANADOS VERÓNICA ANABEL,VERA FABIANA GABRIELA"
"Operativo 2022 Instancia II";"no";"Primario";"Pública";"10 - Primario";"2336";"5000597";"00";"1004";"0";"1004-0";"DR. GUILLERMO RAWSON";"GODOY CRUZ";"GODOY CRUZ";"10%";"Urbano";"CENTRO";"3°";"9";"B";"16089";"Mañana";"Presencial";"28";"17";"11";"2022";"GARRIDO SORIA NOELIA AYELÉN,GONZALEZ PAOLA VANESA,GRANADOS VERÓNICA ANABEL,VERA FABIANA GABRIELA"
"Operativo 2022 Instancia II";"no";"Primario";"Pública";"10 - Primario";"2336";"5000597";"00";"1004";"0";"1004-0";"DR. GUILLERMO RAWSON";"GODOY CRUZ";"GODOY CRUZ";"10%";"Urbano";"CENTRO";"3°";"9";"C";"16090";"Mañana";"Presencial";"23";"17";"6";"2022";"GARRIDO SORIA NOELIA AYELÉN,GONZALEZ PAOLA VANESA,GRANADOS VERÓNICA ANABEL,VERA FABIANA GABRIELA"
"Operativo 2022 Instancia II";"no";"Primario";"Pública";"10 - Primario";"2336";"5000597";"00";"1004";"0";"1004-0";"DR. GUILLERMO RAWSON";"GODOY CRUZ";"GODOY CRUZ";"10%";"Urbano";"CENTRO";"3°";"9";"D";"16105";"Tarde";"Presencial";"25";"21";"4";"2022";"GARRIDO SORIA NOELIA AYELÉN,GONZALEZ PAOLA VANESA,GRANADOS VERÓNICA ANABEL,VERA FABIANA GABRIELA"
"Operativo 2022 Instancia II";"no";"Primario";"Pública";"10 - Primario";"2336";"5000597";"00";"1004";"0";"1004-0";"DR. GUILLERMO RAWSON";"GODOY CRUZ";"GODOY CRUZ";"10%";"Urbano";"CENTRO";"3°";"9";"E";"69472";"Tarde";"Presencial";"22";"17";"5";"2022";"GARRIDO SORIA NOELIA AYELÉN,GONZALEZ PAOLA VANESA,GRANADOS VERÓNICA ANABEL,VERA FABIANA GABRIELA"
"División aún no censada!";"no";"Primario";"Pública";"10 - Primario";"2336";"5000597";"00";"1004";"0";"1004-0";"DR. GUILLERMO RAWSON";"GODOY CRUZ";"GODOY CRUZ";"10%";"Urbano";"CENTRO";"4°";"10";"A";"16091";"Mañana";"Presencial";"27";"0";"27";-;-
"División aún no censada!";"no";"Primario";"Pública";"10 - Primario";"2336";"5000597";"00";"1004";"0";"1004-0";"DR. GUILLERMO RAWSON";"GODOY CRUZ";"GODOY CRUZ";"10%";"Urbano";"CENTRO";"4°";"10";"B";"16092";"Mañana";"Presencial";"29";"0";"29";-;-
"División aún no censada!";"no";"Primario";"Pública";"10 - Primario";"2336";"5000597";"00";"1004";"0";"1004-0";"DR. GUILLERMO RAWSON";"GODOY CRUZ";"GODOY CRUZ";"10%";"Urbano";"CENTRO";"4°";"10";"C";"36369";"Tarde";"Presencial";"21";"0";"21";-;-
"División aún no censada!";"no";"Primario";"Pública";"10 - Primario";"2336";"5000597";"00";"1004";"0";"1004-0";"DR. GUILLERMO RAWSON";"GODOY CRUZ";"GODOY CRUZ";"10%";"Urbano";"CENTRO";"4°";"10";"D";"16107";"Tarde";"Presencial";"19";"0";"19";-;-
"División aún no censada!";"no";"Primario";"Pública";"10 - Primario";"2336";"5000597";"00";"1004";"0";"1004-0";"DR. GUILLERMO RAWSON";"GODOY CRUZ";"GODOY CRUZ";"10%";"Urbano";"CENTRO";"4°";"10";"E";"36371";"Tarde";"Presencial";"23";"0";"23";-;-
"División aún no censada!";"no";"Primario";"Pública";"10 - Primario";"2336";"5000597";"00";"1004";"0";"1004-0";"DR. GUILLERMO RAWSON";"GODOY CRUZ";"GODOY CRUZ";"10%";"Urbano";"CENTRO";"5°";"11";"A";"16093";"Mañana";"Presencial";"31";"0";"31";-;-
"División aún no censada!";"no";"Primario";"Pública";"10 - Primario";"2336";"5000597";"00";"1004";"0";"1004-0";"DR. GUILLERMO RAWSON";"GODOY CRUZ";"GODOY CRUZ";"10%";"Urbano";"CENTRO";"5°";"11";"B";"16094";"Mañana";"Presencial";"31";"0";"31";-;-
"División aún no censada!";"no";"Primario";"Pública";"10 - Primario";"2336";"5000597";"00";"1004";"0";"1004-0";"DR. GUILLERMO RAWSON";"GODOY CRUZ";"GODOY CRUZ";"10%";"Urbano";"CENTRO";"5°";"11";"C";"16095";"Tarde";"Presencial";"20";"0";"20";-;-
"División aún no censada!";"no";"Primario";"Pública";"10 - Primario";"2336";"5000597";"00";"1004";"0";"1004-0";"DR. GUILLERMO RAWSON";"GODOY CRUZ";"GODOY CRUZ";"10%";"Urbano";"CENTRO";"5°";"11";"D";"16112";"Tarde";"Presencial";"23";"0";"23";-;-
"División aún no censada!";"no";"Primario";"Pública";"10 - Primario";"2336";"5000597";"00";"1004";"0";"1004-0";"DR. GUILLERMO RAWSON";"GODOY CRUZ";"GODOY CRUZ";"10%";"Urbano";"CENTRO";"5°";"11";"E";"16108";"Tarde";"Presencial";"19";"0";"19";-;-
"División aún no censada!";"no";"Primario";"Pública";"10 - Primario";"2336";"5000597";"00";"1004";"0";"1004-0";"DR. GUILLERMO RAWSON";"GODOY CRUZ";"GODOY CRUZ";"10%";"Urbano";"CENTRO";"6°";"12";"A";"16096";"Mañana";"Presencial";"29";"0";"29";-;-
"División aún no censada!";"no";"Primario";"Pública";"10 - Primario";"2336";"5000597";"00";"1004";"0";"1004-0";"DR. GUILLERMO RAWSON";"GODOY CRUZ";"GODOY CRUZ";"10%";"Urbano";"CENTRO";"6°";"12";"B";"36370";"Mañana";"Presencial";"30";"0";"30";-;-
"División aún no censada!";"no";"Primario";"Pública";"10 - Primario";"2336";"5000597";"00";"1004";"0";"1004-0";"DR. GUILLERMO RAWSON";"GODOY CRUZ";"GODOY CRUZ";"10%";"Urbano";"CENTRO";"6°";"12";"C";"16109";"Tarde";"Presencial";"27";"0";"27";-;-
"División aún no censada!";"no";"Primario";"Pública";"10 - Primario";"2336";"5000597";"00";"1004";"0";"1004-0";"DR. GUILLERMO RAWSON";"GODOY CRUZ";"GODOY CRUZ";"10%";"Urbano";"CENTRO";"6°";"12";"D";"16110";"Tarde";"Presencial";"28";"0";"28";-;-
"División aún no censada!";"no";"Primario";"Pública";"10 - Primario";"2336";"5000597";"00";"1004";"0";"1004-0";"DR. GUILLERMO RAWSON";"GODOY CRUZ";"GODOY CRUZ";"10%";"Urbano";"CENTRO";"7°";"13";"A ";"16097";"Mañana";"Presencial";"34";"0";"34";-;-
"División aún no censada!";"no";"Primario";"Pública";"10 - Primario";"2336";"5000597";"00";"1004";"0";"1004-0";"DR. GUILLERMO RAWSON";"GODOY CRUZ";"GODOY CRUZ";"10%";"Urbano";"CENTRO";"7°";"13";"B";"16098";"Mañana";"Presencial";"31";"0";"31";-;-
"División aún no censada!";"no";"Primario";"Pública";"10 - Primario";"2336";"5000597";"00";"1004";"0";"1004-0";"DR. GUILLERMO RAWSON";"GODOY CRUZ";"GODOY CRUZ";"10%";"Urbano";"CENTRO";"7°";"13";"C";"49646";"Tarde";"Presencial";"23";"0";"23";-;-
"División aún no censada!";"no";"Primario";"Pública";"10 - Primario";"2336";"5000597";"00";"1004";"0";"1004-0";"DR. GUILLERMO RAWSON";"GODOY CRUZ";"GODOY CRUZ";"10%";"Urbano";"CENTRO";"7°";"13";"D";"16113";"Tarde";"Presencial";"25";"0";"25";-;-
"División aún no censada!";"no";"Primario";"Pública";"10 - Primario";"2336";"5000597";"00";"1004";"0";"1004-0";"DR. GUILLERMO RAWSON";"GODOY CRUZ";"GODOY CRUZ";"10%";"Urbano";"CENTRO";"7°";"13";"E";"57929";"Tarde";"Presencial";"22";"0";"22";-;-
"División aún no censada!";"no";"Primario";"Pública";"09 - Primario";"5";"5000140";"00";"1005";"0";"1005-0";"LEANDRO N. ALEM";"GUAYMALLÉN";"SAN JOSÉ";"10%";"Urbano";"NORTE";"2°";"8";"A";"43";"Mañana";"Presencial";"31";"0";"31";-;-
"División aún no censada!";"no";"Primario";"Pública";"09 - Primario";"5";"5000140";"00";"1005";"0";"1005-0";"LEANDRO N. ALEM";"GUAYMALLÉN";"SAN JOSÉ";"10%";"Urbano";"NORTE";"2°";"8";"B";"50";"Tarde";"Presencial";"27";"0";"27";-;-
"División aún no censada!";"no";"Primario";"Pública";"09 - Primario";"5";"5000140";"00";"1005";"0";"1005-0";"LEANDRO N. ALEM";"GUAYMALLÉN";"SAN JOSÉ";"10%";"Urbano";"NORTE";"3°";"9";"A";"44";"Mañana";"Presencial";"26";"0";"26";-;-
"Operativo 2022 Instancia II";"no";"Primario";"Pública";"09 - Primario";"5";"5000140";"00";"1005";"0";"1005-0";"LEANDRO N. ALEM";"GUAYMALLÉN";"SAN JOSÉ";"10%";"Urbano";"NORTE";"3°";"9";"B";"51";"Tarde";"Presencial";"23";"20";"3";"2022";"FERNANDEZ MARIA VANESA,FRIAS CARLA FLORENCIA,GOMEZ ALEXA IRIS,MILANI ANDREA ESTER,ORTIZ VERA ANA GISELLA,Quiroga Silvia Cristina"
"División aún no censada!";"no";"Primario";"Pública";"09 - Primario";"5";"5000140";"00";"1005";"0";"1005-0";"LEANDRO N. ALEM";"GUAYMALLÉN";"SAN JOSÉ";"10%";"Urbano";"NORTE";"4°";"10";"A";"45";"Mañana";"Presencial";"30";"0";"30";-;-
"División aún no censada!";"no";"Primario";"Pública";"09 - Primario";"5";"5000140";"00";"1005";"0";"1005-0";"LEANDRO N. ALEM";"GUAYMALLÉN";"SAN JOSÉ";"10%";"Urbano";"NORTE";"4°";"10";"B";"52";"Tarde";"Presencial";"18";"0";"18";-;-
"División aún no censada!";"no";"Primario";"Pública";"09 - Primario";"5";"5000140";"00";"1005";"0";"1005-0";"LEANDRO N. ALEM";"GUAYMALLÉN";"SAN JOSÉ";"10%";"Urbano";"NORTE";"5°";"11";"A";"46";"Mañana";"Presencial";"30";"0";"30";-;-
"División aún no censada!";"no";"Primario";"Pública";"09 - Primario";"5";"5000140";"00";"1005";"0";"1005-0";"LEANDRO N. ALEM";"GUAYMALLÉN";"SAN JOSÉ";"10%";"Urbano";"NORTE";"5°";"11";"B";"53";"Tarde";"Presencial";"25";"0";"25";-;-
"División aún no censada!";"no";"Primario";"Pública";"09 - Primario";"5";"5000140";"00";"1005";"0";"1005-0";"LEANDRO N. ALEM";"GUAYMALLÉN";"SAN JOSÉ";"10%";"Urbano";"NORTE";"6°";"12";"A";"47";"Mañana";"Presencial";"29";"0";"29";-;-
"División aún no censada!";"no";"Primario";"Pública";"09 - Primario";"5";"5000140";"00";"1005";"0";"1005-0";"LEANDRO N. ALEM";"GUAYMALLÉN";"SAN JOSÉ";"10%";"Urbano";"NORTE";"6°";"12";"B";"54";"Tarde";"Presencial";"23";"0";"23";-;-
"División aún no censada!";"no";"Primario";"Pública";"09 - Primario";"5";"5000140";"00";"1005";"0";"1005-0";"LEANDRO N. ALEM";"GUAYMALLÉN";"SAN JOSÉ";"10%";"Urbano";"NORTE";"7°";"13";"A";"48";"Mañana";"Presencial";"28";"0";"28";-;-
